accountId,DOTs contributed,Total PDEX rewards,Initial claimable factor,Factor
15kdnGuLi5NSg6Z1bUNDxFhwAgRwk3LUFoBzJbJxhxPrCo64,10,20.54816,5.13704,0.00000318517
12x7WyzcADKVyhPAQ5Aczj2DB4A6XkxP1yKgrd4YwsAQPHiQ,21.5,44.178544,11.044636,0.00000684811
12BzBsS3FTKrGHPPUXWq5ooH5hWXXU2pP22H4aPauoTrTDR2,25,51.3704,12.8426,0.00000796292
13za8tyTQ9TQCBqxBRYDbyiZEXyDqsvvYyd8rzgW5vDyErmf,25,51.3704,12.8426,0.00000796292
14GopS7KSocsuieNWYPHTvbvs4EWLcx4Pw85eaEGQV62nJc4,43,88.357088,22.089272,0.0000136962
15aYikpqyYKpYBdHXCAYXsa61on8eVZYwz4AiDf2kwyuDAEd,5,10.27408,2.56852,0.00000159258
12xvwTiTzVqrasaE5WR9pf7wTYHZ6L14t9Eina61TQevvh6Q,103,211.646048,52.911512,0.0000328072
145vCuFT5Nhz1qVJaWyae9B8BTfvyikAm4to1r5T4orkTW6i,5,10.27408,2.56852,0.00000159258
14zndyBVj7GtBZsr73nTss516DAFNofGXhWpae7aybTrXYqs,20,41.09632,10.27408,0.00000637034
162Sc8zwaHo6BQooLwYdRVyhkR7QFMLNbmKmyqeKB8tnsN7c,5,10.27408,2.56852,0.00000159258
1hG3t1qX2NJfu6RLyL72gzzM9Vkw2NDS1PRjzNBoXHYybXw,10,20.54816,5.13704,0.00000318517
16LZAggen3S38gVUCPbhKLVjyNiKmJPSG9dkmnPoufuKQync,200,410.9632,102.7408,0.0000637034
13BqCL7rSpDXHkBKTBWG6p5MPWQBDVwXGFUb4ZAeTvWQ5WtP,99,203.426784,50.856696,0.0000315332
15fU7EYsfER6P3K2oNhcaLPwMxR1AgyHmsZsDJmpvmzoZzm6,10,20.54816,5.13704,0.00000318517
12xQvv2bSo9DM5o71gStFj1j1XW9je3uAKFnZheQSVHGLhMo,50,102.7408,25.6852,0.0000159258
13uWt4NnfTuVFxnqTQCryktasmFEFAGpndn19K1ZGxidf7XR,3600,7397.3376,1849.3344,0.001146661
152ceXFpiXWEhNyTpj1rA1dCf3SFhhqtX7HFHbUoQLEG1uvt,40,82.19264,20.54816,0.0000127407
1cQF7e3D9FgAjdaajznkrbDwCNzfRxBS9Xkmukyrj2rd1UX,30,61.64448,15.41112,0.00000955551
14gMozjTh1Gq5WqkqzBvSjoM32VKJwNgo3HTt69WhhS7hxsj,340,698.63744,174.65936,0.000108296
15GgdodeHF12opGgx4cEzaSPqimxwcenZdX8q2GL4xpv4FbJ,73,150.001568,37.500392,0.0000232517
14tXkBqiHofwq2rVb5NUgAwCc4zdDtULz25v9w55wATkknx2,71,145.891936,36.472984,0.0000226147
124a6R8Jyc4WDJehVEWDjv1tHJcGmQwYYK3BNcUq4qoYgemA,5,10.27408,2.56852,0.00000159258
15VTtFXH1vJ8edkoS41ijvDSmZfMbF3nn99Dt3hGgDFjLi7G,5,10.27408,2.56852,0.00000159258
14BQ2aDdTrsRzdnWGyALZsnuKYWqCY8Yhf3rydTLH3Hk4GQN,175,359.5928,89.8982,0.0000557405
16cSpbkiicDCYVWwB9ppM1fAoJ9USz1JeMdD9UDZnCMjYsZp,5,10.27408,2.56852,0.00000159258
12sTciyuKG4raed46N7JTmdPKqoLrPvyZHZp5FuPjpxjKvrC,60.5,124.316368,31.079092,0.0000192703
15gPn3birnMcFFAF97MjNdMZZ9p9wC9WwfMpkK6wSJk3tgfk,10,20.54816,5.13704,0.00000318517
13Qbq8eqztbNr1fDKEFDET1B38A12EjGBseSZkv5invFD6Km,10,20.54816,5.13704,0.00000318517
12eUydTFv8Syw1AWiLCv6iM9YAxJBwuKBr2z6mLwt499kStL,5,10.27408,2.56852,0.00000159258
11Vy4RapXsGuqTrcCJDcDcKQB7dWDJJxVtGMjjvR3vr885B,336.5,691.445584,172.861396,0.000107181
13xFHg6S9ep93kdR22uQWtwpyVZTvMR39mr2HUvCij3hywXU,332,682.198912,170.549728,0.000105748
15FZe77TiPDjhaMLWD7jWxBBRvzAfx2uKD9cvn5wXqbDNkAC,5,10.27408,2.56852,0.00000159258
14mPdhmfPxC3gGDbRXH2SJuBAwxrQXcecyKUtisadKA8HGEF,15,30.82224,7.70556,0.00000477775
13Mjoe4Z6Mi6Eme4HFXzFYJAn2LxYFhBTkW3CykaSjEpSiQ5,10.1,20.7536416,5.1884104,0.00000321702
1P8Gz49sHnWT2GRRfbZasszbNo2kbatqmVMP5LxUTm5VDb4,101.6365328,208.8443738,52.21109346,0.0000323729
15wxdSLnTFm6nvT1NRs1U1YWDBQZXVsMkwVmjMrwQ3sbZBbd,34,69.863744,17.465936,0.0000108296
12j7rqLxPue8GVU8Jw18W6J2n7eLXmn2vmeu6ysuUnse4koR,10,20.54816,5.13704,0.00000318517
15Sde3jFXPV8gZAghXAnvU1VqcQaANULrgBu1Gg4Hsf7Xbci,105.4,216.5776064,54.1444016,0.0000335717
15vykB8HQqruUKqcDuLDJJBg585jFTGvhQP7fxzEYbrLfs24,100,205.4816,51.3704,0.0000318517
15PRwm8L4WWgfoi3dKHoM4bLATsJZHWnxaZx83H4gySi2LnP,301,618.499616,154.624904,0.0000958736
1581SJk2NMVFbD5cihwC2pH4EMSd2bXAr3oVTvBAZtyWHVyp,5,10.27408,2.56852,0.00000159258
15ViaiYEemDmnyYtiMJeBqo2enu43twwyLSG6jkDJV1LwUwX,164,336.989824,84.247456,0.0000522368
12uW3K6aJPsSPj5Lbr11ofvVuzSHmMKeGDZPxJvat97ZYx99,20.01,41.11686816,10.27921704,0.00000637352
129Z1yevND5kZKWaJNKY8Q1wjT6JBqqZX8ySkpruK5mbSMZa,6,12.328896,3.082224,0.0000019111
12ecNqD2NAcCBbBM3K1h4LqFcKn5bU4drNpkcbmbEbgUmtFL,6,12.328896,3.082224,0.0000019111
14K5m2xeiFop8DoBpdxwZH6Y7graBFHJT7qceyaW39gEfTrz,388,797.268608,199.317152,0.000123585
13rX6PDLsVvWv9ov3j29WZKgeyTYfUo64GRCkmbvkoFaMZ6T,5,10.27408,2.56852,0.00000159258
12ranggpkXHBR1qLLyvgVz9wvk3ieJynwxNG2QQUFGmnEBwA,30,61.64448,15.41112,0.00000955551
16B5Rv8fPovZEcsNt3KD67wu2UxxZutHNXa74W8Y9ReuxL6g,5,10.27408,2.56852,0.00000159258
13bfWkzr2nDy23rJT5sydE937PXriXEuCufgr2qYXdPUbxRB,10,20.54816,5.13704,0.00000318517
15yW42WM8Wp7Kky9zf4igxgBi8h3MSkb2pdWyCYFrLAGQaAR,5,10.27408,2.56852,0.00000159258
13K6Atx1dy7cjCoKaLmuWWgU4snViUeLMS7oqvDZqee2ay77,45,92.46672,23.11668,0.0000143333
12iwXRD7RWXTxpcN6ic25cQoXY2x5sGgAtfr9hvkEeFjTQZe,87,178.768992,44.692248,0.000027711
16SGftpPz4ED7pftr3Kp1yQKRN5Jq5gMQs654eAwdwTYH7sR,35,71.91856,17.97964,0.0000111481
15Sja4uRpWyMSuQH1yMMk8JgHFK1upgAxtzVoksZiC66tge8,5,10.27408,2.56852,0.00000159258
1guhxGgW9AfZputknF8LH6Grz3uHRwHTALeD4VvPWSEgsqw,200,410.9632,102.7408,0.0000637034
1H8nNTE6Dcc96cznMU8Kvoh1iKoTBmUcbURRqXMGMsFEcjB,44,90.411904,22.602976,0.0000140147
15SPMV48Wi5MNsoZiDT6n9fFBKKB4qLZCBob6SP4CDRGNJQD,29,59.589664,14.897416,0.00000923699
12vKEpsykQhEyNKibz8wWaHWhi9cQpmjMytrFA1gNiuVXgWu,14.3,29.3838688,7.3459672,0.00000455479
15mNXAo1CVfDxR3HbQuY1eUVHtWLfL3b9Wm6wbsAQFYiHPB2,7,14.383712,3.595928,0.00000222962
1ZCzuQaFhX6jZpyicVUHJCkMm1Xn19y3ycDfPyUGt8VnHW9,31,63.699296,15.924824,0.00000987402
138uxFow6GCJguurfJMCGtYJ8nRwgqSfT7axtVoMozJ4H5Hk,311,639.047776,159.761944,0.0000990587
1P3b5Li8P1d7SBQrRuhQKBqiGB3UvSjhdA9mZrXvfAp2B4p,10,20.54816,5.13704,0.00000318517
12g9thLfxujDGSTyv5pRxzTeoMe3QXiGvtHBCJu3udVKwKC2,500,1027.408,256.852,0.000159258
12BHiGTvLnNi7yW3txjvRu66xUbiY6t342TnzjFzCA432MK2,10,20.54816,5.13704,0.00000318517
13bdWaHmSsamjP2manw3Mpjv7m1Y2KwzrPhzCdW5uw3HsfsD,10,20.54816,5.13704,0.00000318517
12BE33Kmc6vpJpjpxbEgEq5TvZuL7fXQxqv7BD4oYFsWdocf,10,20.54816,5.13704,0.00000318517
1bgzPcdcj6mYXA82BP1csR7tBQddQrmKdTmsj6bV8ihD8nQ,34,69.863744,17.465936,0.0000108296
1E84jrXpWyREa5rk5NrDAjvikVrKsE6sBLwYWsi27tWidSd,17,34.931872,8.732968,0.00000541479
12C1wpzayoiiA41xhX7LJhkoHiNbUdE7n5XoZGiBwZgua7EK,110,226.02976,56.50744,0.0000350369
123W1hyaaKynJbjBP1DPrHtD8LK9DLR2MFjzYoJE891wSVZk,42,86.302272,21.575568,0.0000133777
13Kjz8jqZztwzoJ4rya3hJgjehjqNjG8esgayPdUjbcGXvBc,30,61.64448,15.41112,0.00000955551
13g3JrG4aU5ZjvHHLG3FAVceLVvP9yeWEhWQ2jYZYyMxGxAZ,26,53.425216,13.356304,0.00000828144
14obQByDDPgSQywYUUEGo72uDACbdMCx3MKCKRy7rjEtweri,40,82.19264,20.54816,0.0000127407
1pD9guB3KuGLULSxaQohBBhYRrpzqEvf22PGWzMCDNRSpde,5,10.27408,2.56852,0.00000159258
15MhSfq2QmptbWgnLdATo9tRHva8j2gwtub1f6wUacdCs4fT,10,20.54816,5.13704,0.00000318517
158uvkDyBS2f9QZKq5RzDEAyBsHKocdPPwuwz4Gy7cUz4Wr9,100,205.4816,51.3704,0.0000318517
15814pbUc7E7oZ7AChzqK2xZzqT2qz3mqbeJUKXH9R9Lihcu,703.2,1444.946611,361.2366528,0.000223981
15vxWorcPfZC1CEKARJgkej9cxBBmt3JduCq4ZYTkatf7uwM,36,73.973376,18.493344,0.0000114666
164oVTQLLzAKr9VwqPzgPyZF4NfEbXi1ddMy6e7MdRmZuQnw,15,30.82224,7.70556,0.00000477775
12x85WyFba3yGHydKt4YsVWZYnrhjrrZtKcjfm9a3mFA1sLG,52,106.850432,26.712608,0.0000165629
13GfSo4aRMXVd86kiaWHRutLHHRgjApdK1HvEaiip3gzAhuM,5,10.27408,2.56852,0.00000159258
1653bYZHfiFckZe8rW7FdytyA5nxDW73tb5NnfLxMYXB187L,5,10.27408,2.56852,0.00000159258
16MQU44cWK66bkd6oe7V7SXHeA6TfiKDwuBMH4QgWsWeHWrT,5.1,10.4795616,2.6198904,0.00000162444
15QUMu6aNhp1UPX8NGyQCEsBjhQtMF4qm3tnvfKGaTM8SCjY,360,739.73376,184.93344,0.000114666
1564yLGBb31atL1DZiYzBdiBHxac9pzfC9xYXaehB9wpnrQ6,38,78.083008,19.520752,0.0000121036
14BsFXW6As47LnfB9AuTye6TYJck1JosyNCfwSYSoX5wcRTf,96.5,198.289744,49.572436,0.0000307369
145VDiSQVWVMXTZCFyRUVgkrGNTJbZ2qruS4GVhnMRXpevGQ,5.2,10.6850432,2.6712608,0.00000165629
15JKkWpk2Pz29eJCFYY1tjuGS3WA1fQaBEnUx4pd8XhVZToD,1000,2054.816,513.704,0.000318517
12VqafmRF33wzCSf9ZH1tyTYi5KLRXBXBtmX7Pn8RCXu69VG,51.09,104.9805494,26.24513736,0.000016273
