Account,Total Pdex rewards,Initial Claimable rewards,Factor,DOT Contributed
5DPBRqeZE6HS1Me9kQCnWg1YZ7caFmgpXfqkXGqxF1Ut25sF,20.54816,5.13704,0.000003185168,10
5GWkZF1kYSyFt6DCamSR4Yy6KgprzaE8F57kJv6tQSLp8mvb,13.9727488,3.4931872,0.000002165914,6.8
5DRhdxLJ58BZ8uQaniYgQ6yqrB5XMHxrBYyMPTdb5rvmNJPb,20.54816,5.13704,0.000003185168,10
5HQtWvR6tBfkVhe73rN75x9Kt8Vuk25DqcNQKWsEoF7L3xK6,20.54816,5.13704,0.000003185168,10
5F9bnSbe62PEKYvGYKoaCNsNDzcYdHZghxctKoGg2qXVcRX3,205.4816,51.3704,0.000031851686,100
5HmmRPv3ccyRwWgGaaFqJ8uGLWbrMx2UE7qfLddMUUDJ616r,1335.6304,333.9076,0.000207035962,650
5FHMPcFySqjTPX1567XWP3GeDaAdWSWh1BuFrx9Qnw9TspFR,20.54816,5.13704,0.000003185168,10
5F7NtG6thjRfaG5SESHYVkyy4CPSJwMVHsGXXytSue9KWQyo,22.602976,5.650744,0.000003503685,11
5DF7Ny9Fv5Lky1nNbwSbYUnF7MAjEnCwgkY8tygmXGamDtST,20650.900800000003,5162.725200000001,0.003201094494,10050
5HmgZRXVZ9mf88tFSS8C73momcs2UUmKoEpVeutGawq8Kzfi,41.09632,10.27408,0.000006370337,20
5GzYWMcghxJ858bxkNtvPzcmEMoqzJ94PyxRxBykEvFjSMLd,226.02976,56.50744,0.000035036855,110
5F9Dfm3vUVGr9Y9TwARutxpDe8Tbj7uPt6M9N7JkTX3HLMmb,16.438528,4.109632,0.000002548134,8
5EhDaG9sLgVUkoTLfuKobBiTmw6MzTcUiyaZyVbMamu6RQjZ,71.91856,17.97964,0.00001114809,35
5Hmc5fktKwPQZ1C6C2rinaaq3ZAxoERUWxUVMNEwtWN14HcU,41.09632,10.27408,0.000006370337,20
